"","OBJECTID","dist_rod","rod","dist_hid","hid","dist_hidro_rod","hid_rod"
"73",73,156630.293802682,"rod",210627.912887171,"hid",156630.293802682,"hid_rod"
"74",74,131742.078752218,"rod",189580.239390636,"hid",131742.078752218,"hid_rod"
"75",75,106902.878289695,"rod",168855.672171907,"hid",106902.878289695,"hid_rod"
"76",76,82156.8475092122,"rod",148149.642363953,"hid",82156.8475092093,"hid_rod"
"77",77,57616.5727007897,"rod",128926.428823699,"hid",57616.5727007897,"hid_rod"
"78",78,33477.2785979502,"rod",109756.25518779,"hid",33477.2785979495,"hid_rod"
"79",79,9369.02811607666,"rod",90965.8063475172,"hid",9369.0281160749,"hid_rod"
"80",80,13935.6560160705,"rod",75851.2578181146,"hid",13935.6560160705,"hid_rod"
"81",81,37150.2950607632,"rod",66950.2938602931,"hid",37150.295060771,"hid_rod"
"82",82,31383.7008986869,"rod",66794.9369078582,"hid",31383.7008986869,"hid_rod"
"83",83,21718.4265924141,"rod",75439.2375312835,"hid",21718.4265924142,"hid_rod"
"84",84,7148.58100018147,"rod",90392.9569854012,"hid",7148.58100018164,"hid_rod"
"85",85,5629.8608089361,"rod",22955.3766886191,"hid",5629.8608089354,"hid_rod"
"86",86,18560.8989198221,"rod",35571.1108579535,"hid",18560.8989198217,"hid_rod"
"87",87,41546.8774274139,"rod",54764.1495015758,"hid",41546.8774274139,"hid_rod"
"88",88,61884.8511584692,"rod",71883.5113333977,"hid",61884.8511584692,"hid_rod"
"89",89,263720.706360088,"rod",379939.129174173,"hid",263720.706360088,"hid_rod"
"90",90,249839.311501376,"rod",356942.413292359,"hid",249839.311501376,"hid_rod"
"91",91,237072.754047828,"rod",334235.870351034,"hid",237072.754047828,"hid_rod"
"92",92,226361.218606401,"rod",311803.939097574,"hid",226361.218606401,"hid_rod"
"93",93,213736.007558029,"rod",289635.360776751,"hid",213736.007558029,"hid_rod"
"94",94,201294.423623109,"rod",267839.934733251,"hid",201294.423623109,"hid_rod"
"95",95,189937.086305686,"rod",244453.880023812,"hid",189937.086305686,"hid_rod"
"96",96,179601.158421001,"rod",221423.253552901,"hid",179601.158421001,"hid_rod"
"97",97,160653.340669822,"rod",198871.577539898,"hid",160653.340669822,"hid_rod"
"98",98,136478.846541926,"rod",176631.95063898,"hid",136478.846541926,"hid_rod"
"99",99,112383.900998924,"rod",154998.57997853,"hid",112383.900998924,"hid_rod"
"100",100,88311.968330248,"rod",134541.026485147,"hid",88311.9683302463,"hid_rod"
"101",101,64540.9796263392,"rod",113349.624420643,"hid",64540.9796263392,"hid_rod"
"102",102,41574.0162803843,"rod",93688.4621681178,"hid",41574.016280384,"hid_rod"
"103",103,16960.8193742226,"rod",75006.6108589124,"hid",16960.8193742226,"hid_rod"
"104",104,6005.59315999543,"rod",55714.0168611571,"hid",6005.59315999843,"hid_rod"
"105",105,29857.6949414129,"rod",42809.9304908999,"hid",29857.6949414131,"hid_rod"
"106",106,30047.5700085784,"rod",42566.5027403753,"hid",30047.5700085784,"hid_rod"
